"region_id","parent_id","region_name_py","region_name_cn","region_type","agency_id","weight","status"
"190","13","Suizhou","随州","2","0","0","1"
"191","13","Tianmen","天门","2","0","0","1"
"192","13","Xianning","咸宁","2","0","0","1"
"193","13","Xiangfan","襄樊","2","0","0","1"
"194","13","Xiaogan","孝感","2","0","0","1"
"195","13","Yichang","宜昌","2","0","0","1"
"196","13","Enshi","恩施","2","0","0","1"
"197","14","Changsha","长沙","2","0","0","1"
"198","14","Zhangjia","张家界","2","0","0","1"
"199","14","Changde","常德","2","0","0","1"
"200","14","Chenzhou","郴州","2","0","0","1"
"201","14","Hengyang","衡阳","2","0","0","1"
"202","14","Huaihua","怀化","2","0","0","1"
"203","14","Loudi","娄底","2","0","0","1"
"204","14","Shaoyang","邵阳","2","0","0","1"
"205","14","Xiangtan","湘潭","2","0","0","1"
"206","14","Xiangxi","湘西","2","0","0","1"
"207","14","Yiyang","益阳","2","0","0","1"
"208","14","Yongzhou","永州","2","0","0","1"
"209","14","Yueyang","岳阳","2","0","0","1"
"210","14","Zhuzhou","株洲","2","0","0","1"
"211","15","Changchun","长春","2","0","0","1"
"212","15","Jilin","吉林","2","0","0","1"
"213","15","Baicheng","白城","2","0","0","1"
"214","15","Baishan","白山","2","0","0","1"
"215","15","Liaoyuan","辽源","2","0","0","1"
"216","15","Siping","四平","2","0","0","1"
"217","15","Songyuan","松原","2","0","0","1"
"218","15","Tonghua","通化","2","0","0","1"
"219","15","Yanbian","延边","2","0","0","1"
"220","16","Nanjing","南京","2","0","0","1"
"221","16","Suzhou","苏州","2","0","0","1"
"222","16","Wuxi","无锡","2","0","0","1"
"223","16","Changzhou","常州","2","0","0","1"
"224","16","Huaian","淮安","2","0","0","1"
"225","16","Lianyungang","连云港","2","0","0","1"
"226","16","Nantong","南通","2","0","0","1"
"227","16","Suqian","宿迁","2","0","0","1"
"228","16","Taizhou","泰州","2","0","0","1"
"229","16","Xuzhou","徐州","2","0","0","1"
"230","16","Yancheng","盐城","2","0","0","1"
"231","16","Yangzhou","扬州","2","0","0","1"
"232","16","Zhenjiang","镇江","2","0","0","1"
"233","17","Nanchang","南昌","2","0","0","1"
"234","17","Fuzhou","抚州","2","0","0","1"
"235","17","Ganzhou","赣州","2","0","0","1"
"236","17","Jian","吉安","2","0","0","1"
"237","17","Jingde","景德镇","2","0","0","1"
"238","17","Jiujiang","九江","2","0","0","1"
"239","17","Pingxiang","萍乡","2","0","0","1"
"240","17","Shangrao","上饶","2","0","0","1"
"241","17","Xinyu","新余","2","0","0","1"
"242","17","Yichun","宜春","2","0","0","1"
"243","17","Yingtan","鹰潭","2","0","0","1"
"244","18","Chenyang","沈阳","2","0","0","1"
